Channels,Name,Function,Range/Arg1,Res/Arg2,NPLC,Channel Delay (Seconds),Scale,Function,Gain (M),Offset (B),Label,Test,Low,High,Delta,After N,Alarm,,,,,,,,,,,,,,,,,,,,,,,
101,T1,Temp (Type K),None,C,1,0.0006,FALSE,SCAL,1,0,°C,Off,0,0,None,1,None,,,,,,,,,,,,,,,,,,,,,,,
102,T2,Temp (Type K),None,C,1,0.0006,FALSE,SCAL,1,0,°C,Off,0,0,None,1,None,,,,,,,,,,,,,,,,,,,,,,,
103,T3,Temp (Type K),None,C,1,0.0006,FALSE,SCAL,1,0,°C,Off,0,0,None,1,None,,,,,,,,,,,,,,,,,,,,,,,
104,T4,Temp (Type K),None,C,1,0.0006,FALSE,SCAL,1,0,°C,Off,0,0,None,1,None,,,,,,,,,,,,,,,,,,,,,,,
105,T5,Temp (Type K),None,C,1,0.0006,FALSE,SCAL,1,0,°C,Off,0,0,None,1,None,,,,,,,,,,,,,,,,,,,,,,,
106,T6,Temp (Type K),None,C,1,0.0006,FALSE,SCAL,1,0,°C,Off,0,0,None,1,None,,,,,,,,,,,,,,,,,,,,,,,
107,T7,Temp (Type K),None,C,1,0.0006,FALSE,SCAL,1,0,°C,Off,0,0,None,1,None,,,,,,,,,,,,,,,,,,,,,,,
108,T8,Temp (Type K),None,C,1,0.0006,FALSE,SCAL,1,0,°C,Off,0,0,None,1,None,,,,,,,,,,,,,,,,,,,,,,,
109,T9,Temp (Type K),None,C,1,0.0006,FALSE,SCAL,1,0,°C,Off,0,0,None,1,None,,,,,,,,,,,,,,,,,,,,,,,
110,T10,Temp (Type K),None,C,1,0.0006,FALSE,SCAL,1,0,°C,Off,0,0,None,1,None,,,,,,,,,,,,,,,,,,,,,,,
111,V_aire,DC Voltage,Auto,5.5,1,0.0005,FALSE,SCAL,1,0,,Off,0,0,None,1,None,,,,,,,,,,,,,,,,,,,,,,,
112,Flux_1,DC Voltage,Auto,5.5,1,0.0006,FALSE,SCAL,1,0,,Off,0,0,None,1,None,,,,,,,,,,,,,,,,,,,,,,,
113,Flux_2,DC Voltage,Auto,5.5,1,0.0006,FALSE,SCAL,1,0,,Off,0,0,None,1,None,,,,,,,,,,,,,,,,,,,,,,,
115,T_pared1,Temp (Type K),None,C,1,0.0006,FALSE,SCAL,1,0,°C,Off,0,0,None,1,None,,,,,,,,,,,,,,,,,,,,,,,
116,T_aire,DC Voltage,Auto,5.5,1,0.0005,FALSE,SCAL,1,0,,Off,0,0,None,1,None,,,,,,,,,,,,,,,,,,,,,,,
118,T_ext1,Temp (Type K),None,C,1,0.0006,FALSE,SCAL,1,0,°C,Off,0,0,None,1,None,,,,,,,,,,,,,,,,,,,,,,,
119,T_pared2,Temp (Type K),None,C,1,0.0006,FALSE,SCAL,1,0,°C,Off,0,0,None,1,None,,,,,,,,,,,,,,,,,,,,,,,
120,T_ext2,Temp (Type K),None,C,1,0.0006,FALSE,SCAL,1,0,°C,Off,0,0,None,1,None,,,,,,,,,,,,,,,,,,,,,,,
121,P_diff,DC Current,Auto,5.5,1,0,FALSE,SCAL,1,0,,Off,0,0,None,1,None,,,,,,,,,,,,,,,,,,,,,,,
201,T11,Temp (Type K),None,C,1,0.0006,FALSE,SCAL,1,0,°C,Off,0,0,None,1,None,,,,,,,,,,,,,,,,,,,,,,,
202,T12,Temp (Type K),None,C,1,0.0006,FALSE,SCAL,1,0,°C,Off,0,0,None,1,None,,,,,,,,,,,,,,,,,,,,,,,
203,T13,Temp (Type K),None,C,1,0.0006,FALSE,SCAL,1,0,°C,Off,0,0,None,1,None,,,,,,,,,,,,,,,,,,,,,,,
204,T14,Temp (Type K),None,C,1,0.0006,FALSE,SCAL,1,0,°C,Off,0,0,None,1,None,,,,,,,,,,,,,,,,,,,,,,,
205,T15,Temp (Type K),None,C,1,0.0006,FALSE,SCAL,1,0,°C,Off,0,0,None,1,None,,,,,,,,,,,,,,,,,,,,,,,
206,T16,Temp (Type K),None,C,1,0.0006,FALSE,SCAL,1,0,°C,Off,0,0,None,1,None,,,,,,,,,,,,,,,,,,,,,,,
207,T17,Temp (Type K),None,C,1,0.0006,FALSE,SCAL,1,0,°C,Off,0,0,None,1,None,,,,,,,,,,,,,,,,,,,,,,,
208,T18,Temp (Type K),None,C,1,0.0006,FALSE,SCAL,1,0,°C,Off,0,0,None,1,None,,,,,,,,,,,,,,,,,,,,,,,
209,T19,Temp (Type K),None,C,1,0.0006,FALSE,SCAL,1,0,°C,Off,0,0,None,1,None,,,,,,,,,,,,,,,,,,,,,,,
210,T20,Temp (Type K),None,C,1,0.0006,FALSE,SCAL,1,0,°C,Off,0,0,None,1,None,,,,,,,,,,,,,,,,,,,,,,,
211,T21,Temp (Type K),None,C,1,0.0006,FALSE,SCAL,1,0,°C,Off,0,0,None,1,None,,,,,,,,,,,,,,,,,,,,,,,
